事件/资产名称,龍魂ID,治理维度,DNA层级,三色审计,熔断级别,风险评分,处理状态,女娲五彩石,R值（影响范围）,I值（事件重要性）,已否决,红线触碰,负责人,创建时间,DNA追溯码,三才校验,创建者,商业授权状态,压力测试问题,压力测试结果,审查对象,对外状态,已加密,平台/来源,最后编辑,本机路径,松紧级别,涉及维度,版本号,登记时间,编辑者,老大原话存档,行动建议,证据链摘要,资产类型
README.md,762,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:51,#龍芯⚡️2026-03-27-README_MD_CF4D-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-editor/README.md,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
QUICK_START.md,760,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:51,#龍芯⚡️2026-03-27-QUICK_START_MD_93A9-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-editor/QUICK_START.md,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
cnsh_compiler.py,759,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:51,#龍芯⚡️2026-03-27-CNSH_COMPILER_PY_E72D-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-editor/cnsh_compiler.py,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
vector-db.js,758,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:51,#龍芯⚡️2026-03-27-VECTOR-DB_JS_8475-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/src/utils/vector-db.js,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
logger.js,756,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:51,#龍芯⚡️2026-03-27-LOGGER_JS_4A0A-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/src/utils/logger.js,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
ollama.js,754,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:51,#龍芯⚡️2026-03-27-OLLAMA_JS_4A3D-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/src/services/ollama.js,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
notionSync.js,752,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:51,#龍芯⚡️2026-03-27-NOTIONSYNC_JS_1B3F-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/src/services/notionSync.js,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
file.js,750,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:51,#龍芯⚡️2026-03-27-FILE_JS_3910-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/src/services/file.js,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
__init__.py,749,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:51,#龍芯⚡️2026-03-27-INIT_PY_7A8E-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/cnsh-core/runtime/__init__.py,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
embedding.js,748,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:51,#龍芯⚡️2026-03-27-EMBEDDING_JS_CADF-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/src/services/embedding.js,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
database.js,745,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:51,#龍芯⚡️2026-03-27-DATABASE_JS_2987-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/src/services/database.js,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
database-enhanced.js,743,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:51,#龍芯⚡️2026-03-27-DATABASE-ENHANCED_JS_EAF2-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/src/services/database-enhanced.js,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
dailyReview.js,741,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:51,#龍芯⚡️2026-03-27-DAILYREVIEW_JS_5F4E-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/src/services/dailyReview.js,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
activationService.js,739,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:51,#龍芯⚡️2026-03-27-ACTIVATIONSERVICE_JS_BF2A-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/src/services/activationService.js,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
server.js,738,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:51,#龍芯⚡️2026-03-27-SERVER_JS_4FF2-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/src/server.js,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
server-fixed.js,737,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:51,#龍芯⚡️2026-03-27-SERVER-FIXED_JS_0ECA-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/src/server-fixed.js,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
payment.js,735,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:51,#龍芯⚡️2026-03-27-PAYMENT_JS_039D-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/src/routes/payment.js,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
ollama.js,733,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:51,#龍芯⚡️2026-03-27-OLLAMA_JS_4A3D-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/src/routes/ollama.js,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
obsidian.js,731,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:51,#龍芯⚡️2026-03-27-OBSIDIAN_JS_9FC6-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/src/routes/obsidian.js,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
marketplace.js,728,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:51,#龍芯⚡️2026-03-27-MARKETPLACE_JS_10C3-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/src/routes/marketplace.js,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
knowledge.js,726,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:51,#龍芯⚡️2026-03-27-KNOWLEDGE_JS_5B3A-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/src/routes/knowledge.js,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
digital-identity.js,725,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:51,#龍芯⚡️2026-03-27-DIGITAL-IDENTITY_JS_6EC9-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/src/config/digital-identity.js,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
daily-review.js,724,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:51,#龍芯⚡️2026-03-27-DAILY-REVIEW_JS_76E9-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/src/commands/daily-review.js,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
test-notion-integration.py,722,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:51,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.py-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/scripts/test-notion-integration.py,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
test-api.sh,721,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:51,#龍芯⚡️2026-03-27-TEST-API_SH_247E-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/scripts/test-api.sh,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
start-notion-monitor.sh,720,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:51,#龍芯⚡️2026-03-27-START-NOTION-MONITOR_SH_6F46-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/scripts/start-notion-monitor.sh,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
start-debug.sh,719,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:51,#龍芯⚡️2026-03-27-START-DEBUG_SH_F2A9-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/scripts/start-debug.sh,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
start-cnhsh-local.sh,715,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:51,#龍芯⚡️2026-03-27-START-CNHSH-LOCAL_SH_EE14-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/scripts/start-cnhsh-local.sh,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
setup-huawei-permissions.sh,712,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:51,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.sh-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/scripts/setup-huawei-permissions.sh,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
report_processing.py,710,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:51,#龍芯⚡️2026-03-27-REPORT_PROCESSING_PY_5D70-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/scripts/report_processing.py,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
notion-monitor-daemon.sh,707,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:50,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.sh-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/scripts/notion-monitor-daemon.sh,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
local-db-setup.sh,700,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:50,#龍芯⚡️2026-03-27-LOCAL-DB-SETUP_SH_C3CF-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/scripts/local-db-setup.sh,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
integrate-notion-dbs.sh,698,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:50,#龍芯⚡️2026-03-27-INTEGRATE-NOTION-DBS_SH_68A6-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/scripts/integrate-notion-dbs.sh,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
install.sh,697,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:50,#龍芯⚡️2026-03-27-INSTALL_SH_9FB0-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/scripts/install.sh,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
install-uid9622-banner.sh,695,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:50,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.sh-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/scripts/install-uid9622-banner.sh,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
FINAL_PUSH.sh,693,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:50,#龍芯⚡️2026-03-27-FINAL_PUSH_SH_520E-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/scripts/FINAL_PUSH.sh,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
emergency-fix.sh,690,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:50,#龍芯⚡️2026-03-27-EMERGENCY-FIX_SH_8396-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/scripts/emergency-fix.sh,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
dna_registration.py,688,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:50,#龍芯⚡️2026-03-27-DNA_REGISTRATION_PY_A301-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/scripts/dna_registration.py,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
dna_generator.py,685,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:50,#龍芯⚡️2026-03-27-DNA_GENERATOR_PY_B675-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/scripts/dna_generator.py,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
crontab-setup.sh,682,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:50,#龍芯⚡️2026-03-27-CRONTAB-SETUP_SH_E830-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/scripts/crontab-setup.sh,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
cnsh-unified.sh,680,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:50,#龍芯⚡️2026-03-27-CNSH-UNIFIED_SH_F920-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/scripts/cnsh-unified.sh,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
check-huawei-permissions.sh,677,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:50,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.sh-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/scripts/check-huawei-permissions.sh,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
ai-compliance-monitor.py,675,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:50,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.py-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/scripts/ai-compliance-monitor.py,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
AI_PERSONALITY.py,674,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:50,#龍芯⚡️2026-03-27-AI_PERSONALITY_PY_23F0-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/scripts/AI_PERSONALITY.py,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
ai_chat_extractor.py,672,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:50,#龍芯⚡️2026-03-27-AI_CHAT_EXTRACTOR_PY_7B4F-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/scripts/ai_chat_extractor.py,,,v1.0,,💎 龍魂系统中枢大脑,,,,💻 代码/工具
requirements.txt,670,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:50,#龍芯⚡️2026-03-27-REQUIREMENTS_TXT_AD6F-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/requirements.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
requirements-notion.txt,669,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:50,#龍芯⚡️2026-03-27-REQUIREMENTS-NOTION_TXT_A9E3-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/requirements-notion.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
package.json,668,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:50,#龍芯⚡️2026-03-27-PACKAGE_JSON_D5B0-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/package.json,,,v1.0,,💎 龍魂系统中枢大脑,,,,⚙️ 系统架构
package-simple.json,666,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:50,#龍芯⚡️2026-03-27-PACKAGE-SIMPLE_JSON_28BC-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/package-simple.json,,,v1.0,,💎 龍魂系统中枢大脑,,,,⚙️ 系统架构
package-lock.json,665,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:50,#龍芯⚡️2026-03-27-PACKAGE-LOCK_JSON_5723-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/package-lock.json,,,v1.0,,💎 龍魂系统中枢大脑,,,,⚙️ 系统架构
INDEX.json,664,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:50,#龍芯⚡️2026-03-27-INDEX_JSON_5178-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/INDEX.json,,,v1.0,,💎 龍魂系统中枢大脑,,,,⚙️ 系统架构
使用手册.md,663,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:50,#龍芯⚡️2026-03-27-MD_0111-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/docs/使用手册.md,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
快速部署指南.md,662,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:50,#龍芯⚡️2026-03-27-MD_B91F-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/docs/快速部署指南.md,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
架构设计.md,661,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:50,#龍芯⚡️2026-03-27-MD_2D00-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/docs/架构设计.md,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
贡献指南.md,660,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:50,#龍芯⚡️2026-03-27-MD_014F-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/docs/贡献指南.md,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
调试报告.md,659,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:50,#龍芯⚡️2026-03-27-MD_59EE-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/docs/调试报告.md,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
本地数据库部署指南.md,658,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:50,#龍芯⚡️2026-03-27-MD_87FD-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/docs/本地数据库部署指南.md,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
安装指南.md,657,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:50,#龍芯⚡️2026-03-27-MD_DFA4-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/docs/安装指南.md,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
UID9622_TRANSPARENCY.md,656,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 15:50,#龍芯⚡️2026-03-27-UID9622_TRANSPARENCY_MD_D329-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/docs/UID9622_TRANSPARENCY.md,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
